,car,price,specs
0,BMW 3 SERIES,"£4,000","2010
•
100,000 miles
•
Diesel
•
Manual"
1,BMW 3 SERIES,"£2,795","2008
•
129,000 miles
•
Diesel
•
Manual"
2,BMW 3 SERIES,"£1,500","2005
•
152,000 miles
•
Diesel
•
Manual"
3,BMW X5,"£29,000","2014
•
50,000 miles
•
Diesel
•
Automatic"
4,BMW 4 SERIES,"£24,500","2017
•
35,000 miles
•
Diesel
•
Automatic"
5,BMW 1 SERIES,"£23,500","2017
•
36,000 miles
•
Petrol
•
Manual"
6,BMW 4 SERIES,"£19,000","2014
•
23,000 miles
•
Diesel
•
Automatic"
7,BMW Z4,"£18,500","2014
•
33,000 miles
•
Petrol
•
Manual"
8,BMW X5,"£10,000","2010
•
103,000 miles
•
Diesel
•
Automatic"
9,BMW 1 SERIES,"£9,495
 was £9,500","2012
•
58,000 miles
•
Petrol
•
Automatic"
10,BMW 3 SERIES,"£10,995","2011
•
58,000 miles
•
Petrol
•
Automatic"
11,BMW X1,"£24,999","2017
•
21,000 miles
•
Petrol
•
Automatic"
12,BMW 4 Series,"£24,495
 was £25,000","2017
•
23,841 miles
•
Diesel
•
Automatic"
13,BMW 5 Series,"£8,895","2012
•
83,000 miles
•
Diesel
•
Automatic"
14,BMW 5 SERIES,"£37,000","2016
•
23,000 miles
•
Petrol
•
Automatic"
15,BMW X5,"£22,500","2011
•
31,000 miles
•
Diesel
•
Automatic"
16,BMW 3 Series,"£16,880","2016
•
59,500 miles
•
Petrol/plugin elec h
•
Automatic"
17,BMW X4,"£29,975","2018
•
24,176 miles
•
Diesel
•
Automatic"
18,BMW 6 Series,"£27,000","2018
•
21,929 miles
•
Petrol
•
Automatic"
19,BMW 5 Series,"£17,000","2016
•
79,655 miles
•
Diesel
•
Automatic"
20,BMW 2 Series,"£18,240
 was £18,390","2016
•
28,000 miles
•
Petrol
•
Semiauto"
21,BMW 1 Series,"£13,980","2014
•
44,089 miles
•
Petrol
•
Semiauto"
22,BMW 4 Series,"£18,750
 was £19,000","2017
•
32,982 miles
•
Diesel
•
Manual"
23,BMW 3 SERIES,"£1,695
 was £1,995","2006
•
280,130 miles
•
Diesel
•
Automatic"
24,BMW 2 SERIES,"£15,995
 was £16,295","2015
•
33,000 miles
•
Diesel
•
Automatic"
25,Bmw 2 Series,"£21,999","2017
•
27,081 miles
•
Petrol
•
Manual"
26,Bmw 2 Series,"£19,999","2018
•
26,178 miles
•
Petrol
•
Manual"
27,Bmw 6 Series,"£19,999","2014
•
77,470 miles
•
Petrol
•
Automatic"
28,Bmw 5 Series,"£18,499","2015
•
20,502 miles
•
Petrol
•
Automatic"
29,Bmw X3,"£12,999","2012
•
78,000 miles
•
Diesel
•
Manual"
30,BMW Z4,"£11,495","2009
•
58,800 miles
•
Petrol
•
Manual"
31,BMW X3 M,"£57,790
 was £58,000","2019
•
6,121 miles
•
Petrol
•
Automatic"
32,BMW 5 Series,"£54,190","2020
•
7,119 miles
•
Diesel
•
Automatic"
33,BMW 4 Series,"£51,090","2020
•
4,798 miles
•
Petrol
•
Automatic"
34,BMW M2,"£49,090
 was £51,000","2020
•
7,258 miles
•
Petrol
•
Automatic"
35,BMW M4,"£45,890
 was £47,000","2019
•
20,359 miles
•
Petrol
•
Automatic"
36,BMW 4 Series,"£45,390
 was £50,000","2021
•
1,868 miles
•
Petrol
•
Automatic"
37,BMW M4,"£44,890
 was £47,000","2019
•
9,119 miles
•
Petrol
•
Automatic"
38,BMW X1,"£40,890
 was £41,000","2020
•
4,415 miles
•
Diesel
•
Automatic"
39,BMW X6,"£39,890
 was £40,000","2018
•
20,411 miles
•
Diesel
•
Automatic"
40,BMW X1,"£39,890
 was £40,000","2020
•
1,191 miles
•
Diesel
•
Automatic"
41,BMW 1 Series,"£38,290","2021
•
5,722 miles
•
Petrol
•
Automatic"
42,BMW X3,"£38,190
 was £38,490","2019
•
4,429 miles
•
Diesel
•
Automatic"
43,BMW 6 Series,"£37,890
 was £39,000","2019
•
25,343 miles
•
Petrol
•
Automatic"
44,BMW X4,"£37,290
 was £38,490","2018
•
16,029 miles
•
Diesel
•
Automatic"
45,BMW 1 Series,"£36,190
 was £36,490","2021
•
4,924 miles
•
Petrol
•
Automatic"
46,BMW X2,"£35,090","2021
•
6,277 miles
•
Petrol/plugin elec h
•
Automatic"
47,BMW 2 Series,"£34,690
 was £35,590","2020
•
5,902 miles
•
Diesel
•
Automatic"
48,BMW 2 Series,"£34,490","2020
•
5,084 miles
•
Petrol
•
Automatic"
49,BMW 3 Series,"£34,290","2018
•
12,620 miles
•
Petrol
•
Automatic"
50,BMW 4 Series,"£31,590
 was £33,000","2018
•
18,003 miles
•
Petrol
•
Automatic"
51,BMW 4 Series,"£31,490","2019
•
11,539 miles
•
Petrol
•
Automatic"
52,BMW 1 Series,"£30,890
 was £31,000","2020
•
7,283 miles
•
Diesel
•
Manual"
53,BMW 5 Series,"£30,690","2019
•
20,596 miles
•
Diesel
•
Automatic"
54,BMW i3,"£30,590","2021
•
2,980 miles
•
Electric
•
Automatic"
55,BMW 2 Series,"£30,290
 was £32,490","2019
•
13,057 miles
•
Petrol
•
Automatic"
56,BMW 1 Series,"£30,090
 was £30,790","2020
•
2,110 miles
•
Diesel
•
Automatic"
57,BMW 1 Series,"£29,890
 was £30,000","2020
•
6,952 miles
•
Diesel
•
Automatic"
58,BMW X3,"£29,190
 was £30,000","2017
•
41,017 miles
•
Diesel
•
Automatic"
59,BMW X3,"£28,390","2017
•
31,492 miles
•
Diesel
•
Automatic"
60,BMW 1 Series,"£27,490
 was £28,590","2019
•
21,373 miles
•
Petrol
•
Automatic"
61,BMW 3 Series,"£25,190
 was £26,000","2018
•
41,555 miles
•
Diesel
•
Automatic"
62,BMW X1,"£24,190
 was £24,490","2017
•
28,519 miles
•
Diesel
•
Automatic"
63,BMW 2 Series,"£24,090
 was £25,000","2018
•
12,410 miles
•
Petrol
•
Automatic"
64,BMW 4 Series,"£23,290","2018
•
5,409 miles
•
Petrol
•
Manual"
65,BMW X3,"£22,090
 was £23,000","2017
•
71,811 miles
•
Diesel
•
Automatic"
66,BMW 1 Series,"£21,690
 was £22,490","2019
•
9,222 miles
•
Petrol
•
Manual"
67,BMW 3 Series,"£21,000
 was £22,000","2018
•
52,831 miles
•
Diesel
•
Automatic"
68,BMW 1 Series,"£20,890
 was £21,000","2019
•
32,845 miles
•
Petrol
•
Automatic"
69,BMW 2 Series,"£19,690
 was £20,000","2017
•
14,057 miles
•
Diesel
•
Manual"
70,BMW 1 Series,"£19,390","2018
•
16,979 miles
•
Petrol
•
Manual"
71,BMW X3,"£17,790
 was £18,000","2015
•
70,559 miles
•
Diesel
•
Automatic"
72,BMW 1 Series,"£17,190","2016
•
27,693 miles
•
Diesel
•
Manual"
73,BMW 1 Series,"£16,790
 was £17,490","2017
•
17,415 miles
•
Petrol
•
Manual"
74,BMW 2 Series,"£16,190
 was £16,490","2016
•
36,109 miles
•
Diesel
•
Manual"
75,BMW 3 Series,"£15,490","2018
•
58,750 miles
•
Diesel
•
Manual"
76,BMW X6,"£72,000","2021
•
1,990 miles
•
Diesel
•
Automatic"
77,BMW X5,"£69,000","2021
•
6,547 miles
•
Diesel
•
Automatic"
78,BMW M2,"£47,890
 was £49,000","2019
•
4,787 miles
•
Petrol
•
Automatic"
79,BMW 1 Series,"£17,590","2017
•
21,766 miles
•
Petrol
•
Automatic"
80,BMW X3,"£8,995
 was £9,490","2011
•
113,000 miles
•
Diesel
•
Automatic"
81,BMW Z4,"£8,995","2009
•
94,000 miles
•
Petrol
•
Manual"
82,BMW 1 SERIES,"£3,790","2009
•
88,000 miles
•
Petrol
•
Manual"
83,BMW X5,"£28,970
 was £29,470","2015
•
72,000 miles
•
Diesel
•
Automatic"
84,BMW 4 Series Gran Coupe,"£27,170","2018
•
8,900 miles
•
Petrol
•
Automatic"
85,BMW 6 Series,"£26,970
 was £27,870","2016
•
32,000 miles
•
Diesel
•
Automatic"
86,BMW 6 Series Gran Coupe,"£18,170","2014
•
68,000 miles
•
Diesel
•
Automatic"
87,BMW 4 Series,"£17,870","2014
•
53,000 miles
•
Diesel
•
Automatic"
88,BMW Z4,"£16,470","2014
•
37,000 miles
•
Petrol
•
Manual"
89,BMW 3 Series,"£16,170","2014
•
30,000 miles
•
Diesel
•
Automatic"
90,BMW 5 Series Gran Turismo,"£14,470","2012
•
50,000 miles
•
Diesel
•
Automatic"
91,BMW 3 Series,"£12,470","2013
•
64,000 miles
•
Diesel
•
Automatic"
92,BMW 3 Series,"£4,995","2007
•
58,928 miles
•
Petrol
•
Automatic"
93,BMW X5,"£8,990","2006
•
89,800 miles
•
Petrol
•
Automatic"
94,BMW 1 SERIES,"£5,890","2010
•
90,500 miles
•
Diesel
•
Automatic"
95,BMW X3,"£5,690","2008
•
99,200 miles
•
Diesel
•
Manual"
96,BMW X3,"£5,595
 was £5,895","2009
•
76,125 miles
•
Diesel
•
Automatic"
97,BMW X3,"£5,390","2008
•
104,900 miles
•
Diesel
•
Automatic"
98,BMW 1 SERIES,"£4,890","2010
•
101,700 miles
•
Diesel
•
Manual"
99,BMW X5,"£3,495","2003
•
84,794 miles
•
Petrol
•
Automatic"
100,BMW Z4,"£3,150","2008
•
162,189 miles
•
Petrol
•
Manual"
101,BMW 3 SERIES,"£3,090","2006
•
111,800 miles
•
Diesel
•
Manual"
102,BMW 3 Series,"£2,995
 was £3,295","2009
•
125,596 miles
•
Diesel
•
Manual"
103,BMW 3 SERIES,"£2,990","2005
•
73,500 miles
•
Petrol
•
Automatic"
104,BMW 3 SERIES,"£2,990","2007
•
117,900 miles
•
Diesel
•
Manual"
105,BMW 3 Series,"£2,795","2005
•
73,256 miles
•
Petrol
•
Automatic"
106,BMW 1 Series,"£2,595
 was £2,995","2007
•
100,601 miles
•
Diesel
•
Manual"
107,BMW 1 Series,"£2,495","2007
•
125,029 miles
•
Petrol
•
Manual"
108,BMW 5 Series,"£1,995
 was £2,495","2005
•
147,124 miles
•
Diesel
•
Automatic"
109,BMW 1 Series,"£1,995
 was £2,495","2007
•
101,469 miles
•
Petrol
•
Manual"
110,BMW 1 Series,"£5,895
 was £5,995","2012
•
91,000 miles
•
Diesel
•
Manual"
111,BMW 5 Series,"£4,795
 was £5,995","2009
•
98,000 miles
•
Diesel
•
Automatic"
112,BMW 3 Series,"£3,495
 was £3,995","2011
•
130,000 miles
•
Diesel
•
Manual"
113,BMW 3 Series,"£2,695
 was £3,295","2007
•
115,000 miles
•
Diesel
•
Automatic"
114,BMW 3 Series,"£1,095","2005
•
170,000 miles
•
Diesel
•
Manual"
115,BMW 3 SERIES,"£4,995","1999
•
42,000 miles
•
Petrol
•
Automatic"
116,BMW X5,"£14,995","2012
•
75,700 miles
•
Diesel
•
Automatic"
117,BMW 1 Series,"£4,995","2010
•
55,900 miles
•
Petrol
•
Manual"
118,BMW 3 Series,"£4,295","2006
•
84,700 miles
•
Diesel
•
Automatic"
119,BMW 2 Series,"£21,489","2015
•
29,282 miles
•
Petrol
•
Automatic"
120,BMW 3 Series,"£14,995","2014
•
45,485 miles
•
Diesel
•
Automatic"
121,BMW 4 Series,"£14,295
 was £14,995","2015
•
105,530 miles
•
Diesel
•
Automatic"
122,BMW 3 Series,"£9,995","2011
•
54,170 miles
•
Petrol
•
Manual"
123,BMW 1 Series,"£7,995","2014
•
86,090 miles
•
Diesel
•
Manual"
124,BMW X5,"£54,000
 was £57,000","2019
•
19,019 miles
•
Diesel
•
Automatic"
125,BMW M4,"£49,000","2020
•
14,118 miles
•
Petrol
•
Automatic"
126,BMW Z4,"£36,850","2019
•
9,623 miles
•
Petrol
•
Automatic"
127,BMW 5 Series,"£30,350
 was £30,750","2017
•
25,411 miles
•
Diesel
•
Automatic"
128,BMW 5 Series,"£26,750
 was £27,500","2019
•
14,510 miles
•
Petrol
•
Automatic"
129,BMW 1 Series,"£25,650","2018
•
36,500 miles
•
Petrol
•
Automatic"
130,BMW 2 Series,"£23,850
 was £24,000","2018
•
11,787 miles
•
Diesel
•
Automatic"
131,BMW 3 Series,"£22,000","2018
•
24,659 miles
•
Diesel
•
Automatic"
132,BMW 1 Series,"£21,212
 was £22,000","2019
•
10,724 miles
•
Petrol
•
Manual"
133,BMW 3 Series,"£20,500
 was £20,750","2017
•
47,539 miles
•
Diesel
•
Automatic"
134,BMW Z4,"£20,000","2016
•
37,641 miles
•
Petrol
•
Automatic"
135,BMW 1 Series,"£16,750
 was £17,000","2019
•
14,915 miles
•
Petrol
•
Manual"
136,BMW X3,"£15,850","2011
•
63,621 miles
•
Diesel
•
Automatic"
137,BMW 1 Series,"£6,495","2010
•
61,450 miles
•
Diesel
•
Manual"
138,BMW 3 Series,"£1,895","2002
•
122,000 miles
•
Petrol
•
Manual"
139,BMW 1 SERIES,"£5,999","2008
•
54,000 miles
•
Petrol
•
Manual"
140,BMW M5,"£64,990","2019
•
26,000 miles
•
Petrol
•
Automatic"
141,BMW 2 Series Active Tourer,"£8,990
 was £9,490","2015
•
112,000 miles
•
Petrol
•
Manual"
142,BMW M4,"£34,990
 was £35,990","2017
•
47,000 miles
•
Petrol
•
Automatic"
143,BMW 3 Series,"£3,190","2008
•
147,000 miles
•
Petrol
•
Manual"
144,BMW 3 Series,"£5,495","2005
•
59,000 miles
•
Diesel
•
Automatic"
145,BMW 5 Series,"£5,495
 was £5,995","2000
•
75,000 miles
•
Petrol
•
Automatic"
146,BMW M3,"£46,995","2018
•
25,500 miles
•
Petrol
•
Automatic"
147,BMW M4,"£39,995","2018
•
35,000 miles
•
Petrol
•
Automatic"
148,BMW 4 SERIES,"£27,995
 was £29,995","2017
•
25,100 miles
•
Petrol
•
Automatic"
149,BMW M3,"£27,995","2006
•
78,000 miles
•
Petrol
•
Manual"
150,BMW 4 SERIES,"£27,995","2017
•
22,500 miles
•
Petrol
•
Automatic"
151,BMW 2 SERIES,"£27,795","2017
•
32,000 miles
•
Petrol
•
Automatic"
152,BMW 1 SERIES,"£22,995","2017
•
54,989 miles
•
Petrol
•
Automatic"
153,BMW X5,"£18,295","2013
•
72,000 miles
•
Diesel
•
Automatic"
154,BMW 1 SERIES,"£15,995","2013
•
65,500 miles
•
Petrol
•
Automatic"
155,BMW 3 SERIES,"£14,495","2013
•
55,305 miles
•
Petrol
•
Automatic"
156,BMW 6 SERIES,"£12,495","2008
•
93,500 miles
•
Petrol
•
Automatic"
157,BMW 5 SERIES,"£8,995","2012
•
105,000 miles
•
Diesel
•
Automatic"
158,BMW 7 Series,"£3,295","2006
•
152,000 miles
•
Diesel
•
Automatic"
159,BMW 2 Series,"£36,500
 was £38,000","2017
•
18,997 miles
•
Petrol
•
Manual"
160,BMW 4 Series,"£32,000
 was £33,000","2020
•
3,500 miles
•
Diesel
•
Automatic"
161,BMW 3 Series,"£31,000","2019
•
18,000 miles
•
Petrol
•
Automatic"
162,BMW 5 Series,"£30,250
 was £30,500","2017
•
35,356 miles
•
Diesel
•
Automatic"
163,BMW X3,"£35,950
 was £36,950","2019
•
11,169 miles
•
Diesel
•
Automatic"
164,BMW 5 Series,"£11,500","2011
•
73,000 miles
•
Diesel
•
Automatic"
165,BMW X5,"£6,499","2005
•
86,600 miles
•
Diesel
•
Automatic"
166,BMW 1 Series,"£6,499","2012
•
84,138 miles
•
Diesel
•
Manual"
167,BMW 3 Series,"£5,799","2008
•
52,400 miles
•
Petrol
•
Automatic"
168,BMW 1 Series,"£5,199","2009
•
65,000 miles
•
Diesel
•
Manual"
169,BMW X3,"£4,299","2005
•
94,000 miles
•
Diesel
•
Manual"
170,BMW 1 Series,"£4,299","2009
•
76,000 miles
•
Petrol
•
Manual"
171,BMW 3 Series,"£36,990","2020
•
4,735 miles
•
Diesel hybrid
•
Automatic"
172,BMW 4 Series,"£26,990
 was £27,990","2019
•
23,050 miles
•
Diesel
•
Automatic"
173,BMW 5 Series,"£8,990","2014
•
110,500 miles
•
Diesel
•
Manual"
174,BMW 3 Series,"£7,790","2007
•
87,410 miles
•
Diesel
•
Manual"
175,BMW X1,"£6,990","2011
•
103,658 miles
•
Diesel
•
Manual"
176,BMW 1 SERIES,"£20,000","2017
•
44,000 miles
•
Petrol
•
Manual"
177,BMW 1 SERIES,"£3,950","2009
•
99,000 miles
•
Diesel
•
Manual"
178,BMW 1 Series,"£14,795","2017
•
56,100 miles
•
Diesel
•
Manual"
179,BMW 3 Series,"£14,495
 was £14,795","2016
•
37,600 miles
•
Diesel
•
Automatic"
180,BMW 2 Series,"£8,695","2014
•
97,680 miles
•
Diesel
•
Manual"
181,BMW 1 Series,"£7,495","2014
•
73,070 miles
•
Diesel
•
Manual"
182,BMW 1 Series,"£7,295","2011
•
78,990 miles
•
Diesel
•
Manual"
183,BMW M2,"£35,450","2016
•
18,081 miles
•
Petrol
•
Automatic"
184,BMW 4 Series,"£30,500
 was £30,800","2018
•
8,736 miles
•
Diesel
•
Automatic"
185,BMW 2 Series,"£16,900
 was £17,000","2017
•
48,278 miles
•
Diesel
•
Manual"
186,BMW i3,"£21,900
 was £22,000","2018
•
14,785 miles
•
Electric petrol rex
•
Automatic"
187,BMW 4 Series,"£19,000","2017
•
54,713 miles
•
Petrol
•
Manual"
188,BMW 1 Series,"£14,000
 was £14,500","2016
•
56,944 miles
•
Diesel
•
Manual"
189,BMW 8 Series,"£69,995
 was £72,995","2019
•
14,988 miles
•
Petrol
•
Automatic"
190,BMW 7 Series,"£29,995","2017
•
33,000 miles
•
Diesel
•
Automatic"
191,BMW X3,"£11,350","2013
•
109,125 miles
•
Diesel
•
Automatic"
192,BMW 3 Series,"£4,595","2012
•
144,560 miles
•
Diesel
•
Manual"
193,BMW X5,"£20,995","2013
•
93,234 miles
•
Diesel
•
Automatic"
194,BMW 5 Series,"£5,750","2011
•
132,456 miles
•
Diesel
•
Manual"
195,BMW 3 Series,"£9,562
 was £9,670","2011
•
78,000 miles
•
Diesel
•
Automatic"
196,BMW 1 Series,"£7,380","2013
•
98,511 miles
•
Diesel
•
Manual"
197,Bmw 3 Series,"£14,995","2014
•
66,187 miles
•
Diesel
•
Automatic"
198,BMW M5,"£20,000","2009
•
50,000 miles
•
Petrol
•
Automatic"
199,BMW X5,"£16,000
 was £18,000","2011
•
65,000 miles
•
Petrol
•
Automatic"
200,BMW X5,"£15,000","2011
•
68,000 miles
•
Diesel
•
Automatic"
201,BMW X5,"£15,000","2011
•
75,000 miles
•
Diesel
•
Automatic"
202,BMW X5,"£15,000","2012
•
70,000 miles
•
Diesel
•
Automatic"
203,BMW 3 SERIES,"£14,000","2014
•
45,000 miles
•
Diesel
•
Manual"
204,BMW 3 SERIES,"£14,000","2015
•
59,000 miles
•
Diesel
•
Automatic"
205,BMW 7 SERIES,"£13,000","2011
•
48,000 miles
•
Diesel
•
Automatic"
206,BMW 5 SERIES,"£11,500
 was £15,000","2013
•
57,000 miles
•
Diesel
•
Automatic"
207,BMW X1,"£10,000","2014
•
89,000 miles
•
Diesel
•
Automatic"
208,BMW 6 SERIES,"£10,000","2009
•
83,000 miles
•
Diesel
•
Automatic"
209,BMW 1 Series,"£4,650
 was £4,999","2011
•
97,000 miles
•
Diesel
•
Manual"
210,BMW 3 Series,"£4,650","2007
•
86,000 miles
•
Petrol
•
Manual"
211,BMW 3 Series,"£4,350
 was £4,495","2011
•
123,000 miles
•
Diesel
•
Manual"
212,BMW M5,"£32,000","2015
•
35,000 miles
•
Petrol
•
Semiauto"
213,BMW 1 Series,"£22,000","2015
•
16,226 miles
•
Petrol
•
Semiauto"
214,BMW 1 Series,"£20,000","2017
•
645 miles
•
Diesel
•
Semiauto"
215,BMW 3 Series,"£15,290","2014
•
64,300 miles
•
Diesel
•
Manual"
216,BMW 1 Series,"£12,490
 was £14,000","2015
•
48,526 miles
•
Petrol
•
Manual"
217,BMW 6 Series,"£23,000","2015
•
48,280 miles
•
Diesel
•
Semiauto"
218,BMW 2 Series,"£18,500","2016
•
38,740 miles
•
Diesel
•
Semiauto"
219,BMW X4,"£46,500","2021
•
2,791 miles
•
Diesel
•
Automatic"
220,BMW X3,"£39,000","2020
•
4,863 miles
•
Diesel
•
Automatic"
221,BMW X2,"£28,400
 was £28,900","2020
•
10,971 miles
•
Petrol
•
Manual"
222,BMW 1 Series,"£27,700
 was £28,000","2018
•
8,007 miles
•
Petrol
•
Automatic"
223,BMW 4 Series Gran Coupe,"£22,900","2017
•
19,805 miles
•
Diesel
•
Automatic"
224,BMW 3 Series,"£22,400","2018
•
24,014 miles
•
Petrol
•
Automatic"
225,BMW 3 Series,"£21,800","2018
•
35,225 miles
•
Petrol
•
Automatic"
226,BMW M4,"£40,990
 was £41,990","2017
•
19,554 miles
•
Petrol
•
Automatic"
227,BMW Z4,"£37,990
 was £38,490","2019
•
13,012 miles
•
Petrol
•
Automatic"
228,BMW X6,"£36,990","2017
•
46,254 miles
•
Diesel
•
Automatic"
229,BMW 1 Series,"£34,990","2020
•
19,913 miles
•
Petrol
•
Automatic"
230,BMW 2 Series,"£29,490","2018
•
10,530 miles
•
Petrol
•
Automatic"
231,BMW 1 Series,"£26,990
 was £27,490","2018
•
8,162 miles
•
Petrol
•
Automatic"
232,BMW X3,"£26,990
 was £27,990","2017
•
24,078 miles
•
Diesel
•
Automatic"
233,BMW 3 Series,"£22,490","2017
•
29,983 miles
•
Diesel
•
Automatic"
234,BMW 5 Series,"£21,490","2015
•
27,364 miles
•
Diesel
•
Automatic"
235,BMW 1 Series,"£3,395
 was £3,895","2009
•
95,000 miles
•
Diesel
•
Manual"
236,BMW 118d,"£12,990","2015
•
52,110 miles
•
Diesel
•
Automatic"
237,BMW 118i,"£4,990","2008
•
87,918 miles
•
Petrol
•
Automatic"
238,BMW 3 Series,"£2,990","2005
•
114,401 miles
•
Petrol
•
Manual"
239,BMW Z3,"£23,750","1998
•
73,000 miles
•
Petrol
•
Manual"
240,BMW X5,"£54,000
 was £57,000","2019
•
19,019 miles
•
Diesel
•
Automatic"
241,BMW M4,"£49,000","2020
•
14,118 miles
•
Petrol
•
Automatic"
242,BMW Z4,"£36,850","2019
•
9,623 miles
•
Petrol
•
Automatic"
243,BMW 5 Series,"£30,350
 was £30,750","2017
•
25,411 miles
•
Diesel
•
Automatic"
244,BMW 5 Series,"£26,750
 was £27,500","2019
•
14,510 miles
•
Petrol
•
Automatic"
245,BMW 1 Series,"£25,650","2018
•
36,500 miles
•
Petrol
•
Automatic"
246,BMW 2 Series,"£23,850
 was £24,000","2018
•
11,787 miles
•
Diesel
•
Automatic"
247,BMW 3 Series,"£22,000","2018
•
24,659 miles
•
Diesel
•
Automatic"
248,BMW 1 Series,"£21,212
 was £22,000","2019
•
10,724 miles
•
Petrol
•
Manual"
249,BMW 3 Series,"£20,500
 was £20,750","2017
•
47,539 miles
•
Diesel
•
Automatic"
250,BMW Z4,"£20,000","2016
•
37,641 miles
•
Petrol
•
Automatic"
251,BMW 1 Series,"£16,750
 was £17,000","2019
•
14,915 miles
•
Petrol
•
Manual"
252,BMW X3,"£15,850","2011
•
63,621 miles
•
Diesel
•
Automatic"
253,BMW 6 Series,"£16,999
 was £17,888","2014
•
92,000 miles
•
Diesel
•
Automatic"
254,BMW 1 Series,"£16,888","2016
•
49,000 miles
•
Petrol
•
Manual"
255,BMW 2 Series,"£13,854
 was £13,999","2015
•
67,280 miles
•
Diesel
•
Automatic"
256,BMW 3 Series,"£8,444","2013
•
163,000 miles
•
Diesel
•
Automatic"
257,BMW 1 Series,"£7,888","2015
•
94,000 miles
•
Petrol
•
Manual"
258,BMW 3 Series,"£7,844","2014
•
132,000 miles
•
Diesel
•
Manual"
259,BMW X3,"£5,750
 was £6,888","2007
•
85,700 miles
•
Diesel
•
Automatic"
260,BMW 3 SERIES,"£16,944","2015
•
57,000 miles
•
Petrol
•
Automatic"
261,BMW Z4,"£12,944","2011
•
62,000 miles
•
Petrol
•
Manual"
262,BMW 2 SERIES,"£12,244","2014
•
75,000 miles
•
Diesel
•
Manual"
263,BMW X1,"£8,944","2011
•
74,000 miles
•
Diesel
•
Automatic"
264,BMW 3 SERIES,"£8,444","2012
•
64,000 miles
•
Diesel
•
Automatic"
265,BMW 1 SERIES,"£7,944","2011
•
64,000 miles
•
Diesel
•
Manual"
266,BMW 1 SERIES,"£7,744","2013
•
82,000 miles
•
Diesel
•
Manual"
267,BMW 1 SERIES,"£7,444","2013
•
57,000 miles
•
Diesel
•
Manual"
268,BMW 2 SERIES,"£19,595","2017
•
19,396 miles
•
Petrol
•
Manual"
269,BMW 3 SERIES,"£19,595","2014
•
45,000 miles
•
Diesel
•
Automatic"
270,BMW 2 SERIES,"£19,295","2016
•
9,000 miles
•
Petrol
•
Automatic"
271,BMW 4 SERIES,"£17,495","2015
•
51,000 miles
•
Diesel
•
Automatic"
272,BMW 3 Series,"£9,295","2012
•
97,106 miles
•
Petrol
•
Automatic"
273,Bmw 4 Series,"£25,398
 was £25,498","2017
•
32,853 miles
•
Diesel
•
Automatic"
274,Bmw 4 Series,"£20,889
 was £20,998","2016
•
20,277 miles
•
Petrol
•
Automatic"
275,Bmw 3 Series,"£20,798","2017
•
21,821 miles
•
Diesel
•
Manual"
276,Bmw X3,"£9,198","2011
•
110,956 miles
•
Diesel
•
Automatic"
277,Bmw 2 Series,"£19,298","2015
•
30,884 miles
•
Petrol
•
Automatic"
278,Bmw 4 Series,"£15,898","2015
•
52,000 miles
•
Petrol
•
Automatic"
279,Bmw 3 Series,"£10,698","2015
•
78,153 miles
•
Petrol
•
Manual"
280,Bmw X1,"£9,998","2013
•
62,077 miles
•
Diesel
•
Manual"
281,Bmw 3 Series,"£7,998","2009
•
60,000 miles
•
Diesel
•
Automatic"
282,BMW X4,"£46,995","2020
•
17,000 miles
•
Petrol
•
Automatic"
283,BMW X4,"£42,995","2018
•
12,000 miles
•
Diesel
•
Automatic"
284,BMW X5,"£36,495","2016
•
54,000 miles
•
Diesel
•
Automatic"
285,BMW M2,"£35,790","2017
•
28,000 miles
•
Petrol
•
Semi automatic"
286,BMW M4,"£34,995","2015
•
25,000 miles
•
Petrol
•
Semi automatic"
287,BMW X5,"£31,495","2015
•
45,000 miles
•
Diesel
•
Automatic"
288,BMW X5,"£27,495","2013
•
43,000 miles
•
Diesel
•
Automatic"
289,BMW 1 SERIES,"£26,995","2018
•
15,000 miles
•
Petrol
•
Automatic"
290,BMW 4 SERIES,"£26,495","2018
•
31,000 miles
•
Diesel
•
Automatic"
291,BMW X5,"£24,695","2014
•
85,000 miles
•
Diesel
•
Automatic"
292,BMW 2 SERIES,"£19,495","2017
•
65,000 miles
•
Petrol
•
Automatic"
293,BMW 2 SERIES,"£16,295","2014
•
44,000 miles
•
Diesel
•
Automatic"
294,BMW 1 SERIES,"£15,495","2017
•
29,000 miles
•
Diesel
•
Automatic"
295,BMW M3,"£14,995","2002
•
127,000 miles
•
Petrol
•
Manual"
296,BMW 3 SERIES,"£3,995","2004
•
121,000 miles
•
Petrol
•
Automatic"
297,BMW 3 SERIES,"£6,500","2010
•
99,000 miles
•
Diesel
•
Automatic"
298,BMW 5 SERIES,"£3,250","1996
•
72,000 miles
•
Petrol
•
Automatic"
299,BMW X5,"£29,000","2016
•
62,000 miles
•
Diesel
•
Automatic"
300,BMW 3 SERIES,"£19,250","2018
•
25,000 miles
•
Diesel
•
Automatic"
301,BMW X5,"£16,300
 was £16,500","2013
•
90,000 miles
•
Diesel
•
Automatic"
302,BMW 5 SERIES,"£12,500","2014
•
78,782 miles
•
Diesel
•
Automatic"
303,BMW 5 SERIES,"£7,200
 was £7,400","2009
•
130,000 miles
•
Diesel
•
Automatic"
304,BMW X6,"£66,890","2021
•
4,300 miles
•
Diesel
•
Automatic"
305,BMW 8 Series,"£58,790","2019
•
24,583 miles
•
Diesel
•
Automatic"
