,car,price,specs
1959,BMW 3 Series,"£25,756","2018
•
11,173 miles
•
Petrol/electric
•
Automatic"
1960,BMW 4 Series,"£25,369
 was £26,915","2019
•
15,863 miles
•
Petrol
•
Automatic"
1961,BMW 1 Series,"£25,143","2018
•
23,642 miles
•
Petrol
•
Automatic"
1962,BMW 1 Series,"£23,991
 was £24,674","2019
•
3,470 miles
•
Petrol
•
Manual"
1963,BMW 2 Series,"£22,691
 was £24,993","2017
•
25,767 miles
•
Diesel
•
Automatic"
1964,BMW 2 Series,"£21,987","2017
•
23,695 miles
•
Diesel
•
Automatic"
1965,BMW 2 Series,"£21,741
 was £21,917","2017
•
22,367 miles
•
Diesel
•
Automatic"
1966,BMW 3 Series,"£21,453
 was £21,687","2017
•
12,378 miles
•
Diesel
•
Automatic"
1967,BMW 2 Series,"£19,947","2017
•
40,713 miles
•
Diesel
•
Manual"
1968,BMW 2 Series,"£19,042","2017
•
8,426 miles
•
Diesel
•
Automatic"
1969,BMW 2 SERIES,"£22,950","2018
•
26,000 miles
•
Petrol
•
Automatic"
1970,BMW 1 SERIES,"£20,333","2016
•
66,000 miles
•
Petrol
•
Automatic"
1971,BMW 1 SERIES,"£16,950","2016
•
28,000 miles
•
Petrol
•
Automatic"
1972,BMW X3,"£16,333","2015
•
69,000 miles
•
Diesel
•
Manual"
1973,BMW 3 SERIES,"£13,995","2015
•
56,000 miles
•
Diesel
•
Manual"
1974,BMW 1 SERIES,"£13,777","2015
•
44,000 miles
•
Petrol
•
Manual"
1975,BMW 1 SERIES,"£10,995","2016
•
33,000 miles
•
Diesel
•
Manual"
1976,BMW 1 SERIES,"£8,444","2014
•
45,000 miles
•
Petrol
•
Manual"
1977,BMW M5,"£56,950
 was £58,825","2019
•
11,423 miles
•
Petrol
•
Automatic"
1978,BMW X5,"£53,775
 was £54,325","2019
•
16,197 miles
•
Diesel
•
Automatic"
1979,BMW X5,"£51,200
 was £53,400","2019
•
9,897 miles
•
Diesel
•
Automatic"
1980,BMW X5,"£50,525
 was £52,525","2019
•
32,407 miles
•
Diesel
•
Automatic"
1981,BMW 8 Series,"£50,100
 was £50,325","2019
•
21,199 miles
•
Diesel
•
Automatic"
1982,BMW X3,"£45,200
 was £46,925","2020
•
8,146 miles
•
Diesel
•
Automatic"
